variable,value,name,shortname
rs4421091_G,1,gene rs4421091_G,rs4421091_G
rs13188824_T,0,no gene rs13188824_T,no rs13188824_T
rs13188824_T,1,gene rs13188824_T,rs13188824_T
rs4487480_A,0,no gene rs4487480_A,no rs4487480_A
rs4487480_A,1,gene rs4487480_A,rs4487480_A
rs1860933_A,0,no gene rs1860933_A,no rs1860933_A
rs1860933_A,1,gene rs1860933_A,rs1860933_A
rs9325057_A,0,no gene rs9325057_A,no rs9325057_A
rs9325057_A,1,gene rs9325057_A,rs9325057_A
rs7700964_T,0,no gene rs7700964_T,no rs7700964_T
rs7700964_T,1,gene rs7700964_T,rs7700964_T
rs17538716_A,0,no gene rs17538716_A,no rs17538716_A
rs17538716_A,1,gene rs17538716_A,rs17538716_A
rs10463393_C,0,no gene rs10463393_C,no rs10463393_C
rs10463393_C,1,gene rs10463393_C,rs10463393_C
rs7725292_A,0,no gene rs7725292_A,no rs7725292_A
rs7725292_A,1,gene rs7725292_A,rs7725292_A
rs10491340_G,0,no gene rs10491340_G,no rs10491340_G
rs10491340_G,1,gene rs10491340_G,rs10491340_G
rs6580514_G,0,no gene rs6580514_G,no rs6580514_G
rs6580514_G,1,gene rs6580514_G,rs6580514_G
rs6896204_G,0,no gene rs6896204_G,no rs6896204_G
rs6896204_G,1,gene rs6896204_G,rs6896204_G
rs6892970_C,0,no gene rs6892970_C,no rs6892970_C
rs6892970_C,1,gene rs6892970_C,rs6892970_C
rs17641748_A,0,no gene rs17641748_A,no rs17641748_A
rs17641748_A,1,gene rs17641748_A,rs17641748_A
rs12658421_A,0,no gene rs12658421_A,no rs12658421_A
rs12658421_A,1,gene rs12658421_A,rs12658421_A
rs10491343_T,0,no gene rs10491343_T,no rs10491343_T
rs10491343_T,1,gene rs10491343_T,rs10491343_T
rs7714069_G,0,no gene rs7714069_G,no rs7714069_G
rs7714069_G,1,gene rs7714069_G,rs7714069_G
rs17774892_G,0,no gene rs17774892_G,no rs17774892_G
rs17774892_G,1,gene rs17774892_G,rs17774892_G
rs1154729_T,0,no gene rs1154729_T,no rs1154729_T
rs1154729_T,1,gene rs1154729_T,rs1154729_T
rs7701442_T,0,no gene rs7701442_T,no rs7701442_T
rs7701442_T,1,gene rs7701442_T,rs7701442_T
rs2287773_T,0,no gene rs2287773_T,no rs2287773_T
rs2287773_T,1,gene rs2287773_T,rs2287773_T
rs9325061_G,0,no gene rs9325061_G,no rs9325061_G
rs9325061_G,1,gene rs9325061_G,rs9325061_G
rs13160662_A,0,no gene rs13160662_A,no rs13160662_A
rs13160662_A,1,gene rs13160662_A,rs13160662_A
rs4705054_T,0,no gene rs4705054_T,no rs4705054_T
rs4705054_T,1,gene rs4705054_T,rs4705054_T
rs2303067_A,0,no gene rs2303067_A,no rs2303067_A
rs2303067_A,1,gene rs2303067_A,rs2303067_A
rs3815741_G,0,no gene rs3815741 G,no rs3815741 G
rs3815741_G,1,gene rs3815741 G,rs3815741 G
rs17704764_G,0,no gene rs17704764_G,no rs17704764_G
rs17704764_G,1,gene rs17704764_G,rs17704764_G
rs9325071_G,0,no gene rs9325071_G,no rs9325071_G
rs9325071_G,1,gene rs9325071_G,rs9325071_G
rs9325072_T,0,no gene rs9325072_T,no rs9325072_T
rs9325072_T,1,gene rs9325072_T,rs9325072_T
rs9325073_C,0,no gene rs9325073_C,no rs9325073_C
rs9325073_C,1,gene rs9325073_C,rs9325073_C
rs11745768_A,0,no gene rs11745768_A,no rs11745768_A
rs11745768_A,1,gene rs11745768_A,rs11745768_A
rs17637711_T,0,no gene rs17637711_T,no rs17637711_T
rs17637711_T,1,gene rs17637711_T,rs17637711_T
rs17775739_T,0,no gene rs17775739_T,no rs17775739_T
rs17775739_T,1,gene rs17775739_T,rs17775739_T
rs13185274_A,0,no gene rs13185274_A,no rs13185274_A
rs13185274_A,1,gene rs13185274_A,rs13185274_A
rs7443321_T,0,no gene rs7443321_T,no rs7443321_T
rs7443321_T,1,gene rs7443321_T,rs7443321_T
rs4362936_T,0,no gene rs4362936_T,no rs4362936_T
rs4362936_T,1,gene rs4362936_T,rs4362936_T
rs4371740_T,0,no gene rs4371740_T,no rs4371740_T
rs4371740_T,1,gene rs4371740_T,rs4371740_T
rs1120680_G,0,no gene rs1120680_G,no rs1120680_G
rs1120680_G,1,gene rs1120680_G,rs1120680_G
rs17599675_C,0,no gene rs17599675_C,no rs17599675_C
rs17599675_C,1,gene rs17599675_C,rs17599675_C
rs6580526_T,0,no gene rs6580526_T,no rs6580526_T
rs6580526_T,1,gene rs6580526_T,rs6580526_T
rs10068913_C,0,no gene rs10068913_C,no rs10068913_C
rs10068913_C,1,gene rs10068913_C,rs10068913_C
FLG_combined,1,fillaggrin mutation,FLG
FLG_combined,0,no fillaggrin mutation,no FLG
A_1,1,HLA A allele1,A_1
A_2,1,HLA A allele2,A_2
B_1,1,HLA B allele1,B_1
B_2,1,HLA B allele2,B_2
C_1,1,HLA C allele1,C_1
C_2,1,HLA C allele2,C_2
A_1,0,No HLA A allele1,No A_1
A_2,0,No HLA A allele2,No A_2
B_1,0,No HLA B allele1,No B_1
B_2,0,No HLA B allele2,No B_2
C_1,0,No HLA C allele1,No C_1
C_2,0,No HLA C allele2,No C_2
DPA1_1,1,HLA DPA1 allele1,DPA1_1
DPA1_2,1,HLA DPA1 allele2,DPA1_2
DPB1_1,1,HLA DPB1 allele1,DPB1_1
DPB1_2,1,HLA DPB1 allele2,DPB1_2
DQA1_1,1,HLA DQA1 allele1,DQA1_1
DQA1_2,1,HLA DQA1 allele2,DQA1_2
DQB1_1,1,HLA DQB1 allele1,DQB1_1
DQB1_2,1,HLA DQB1 allele2,DQB1_2
DRB1_1,1,HLA DRB1 allele1,DRB1_1
DRB1_2,1,HLA DRB1 allele2,DRB1_2
DPA1_1,0,No HLA DPA1 allele1,No DPA1_1
DPA1_2,0,No HLA DPA1 allele2,No DPA1_2
DPB1_1,0,No HLA DPB1 allele1,No DPB1_1
DPB1_2,0,No HLA DPB1 allele2,No DPB1_2
DQA1_1,0,No HLA DQA1 allele1,No DQA1_1
DQA1_2,0,No HLA DQA1 allele2,No DQA1_2
DQB1_1,0,No HLA DQB1 allele1,No DQB1_1
DQB1_2,0,No HLA DQB1 allele2,No DQB1_2
DRB1_1,0,No HLA DRB1 allele1,No DRB1_1
DRB1_2,0,No HLA DRB1 allele2,No DRB1_2
